3623353053	47299

2609400635	26952

2812335943	23270

5088066090	22921

1295950295	19891

1713926427	19043

1764222885	15826

1259110474	13505

1742566624	13332

1800611161	12190

2706896955	11066

1667486960	10763

3217179555	10720

2803301701	10047

2920692371	8173

3166262701	8135

2107468351	7990

5868142543	7690

2482557597	7400

1893929990	7343

2709577332	7056

1740577714	6974

2731341697	6883

1887826884	6840

2141823055	6409

1952910681	6297

2156456097	6200

2140227493	6189

1291477752	5857

2142168143	5817

2521482470	5571

2457298570	5532

1810480195	5479

2891529877	5467

2683843043	5421

2656274875	5145

2081614717	5093

1097201945	5050

1644395354	4967

2660243037	4838

1223178222	4829

2863134747	4794

5610903650	4766

1991559490	4684

3198121154	4659

1642591402	4639

1852220282	4587

2182038504	4547

3224547527	4522

5369308459	4507

